freq,unit,sex,age,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,NR,F,TOTAL,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1526762 	1535822 	1532563 	1526180 	1520481 	1512745 	1503969 	1492439 	1480358 	1468935 	1459025 	1451691 	1444234 	1437193 	1430827 	1424597 	1417141 	1423050 	1431715 	1432833 	1425342 	1419759 	1406532 	1394864 	: 
A,NR,F,TOTAL,AL0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1535822 	1532563 	1526180 	1520481 	1512745 	1503969 	1492439 	1480358 	1468935 	1459025 	1451691 	1444234 	1437193 	1430827 	1424597 	1417141 	1423050 	1431715 	1432833 	1425342 	1419759 	1406532 	1394864 	: 
A,NR,F,TOTAL,AL01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	416845 	405835 	405598 	404201 	399599 	396799 	390886 	385462 	: 
A,NR,F,TOTAL,AL02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	552949 	574010 	585530 	590623 	594008 	596005 	597622 	598531 	: 
A,NR,F,TOTAL,AL03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	454906 	443205 	440587 	438009 	431735 	426955 	418024 	410871 	: 
A,NR,F,TOTAL,ALX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 
A,NR,F,TOTAL,ALXX	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 
A,NR,F,TOTAL,AT	3989903 	4014682 	4052348 	4089274 	4107857 	4112289 	4116117 	4120947 	4122811 	4126432 	4133855 	4139842 	4156906 	4170674 	4189973 	4216493 	4239954 	4252922 	4265500 	4278068 	4285442 	4296293 	4309977 	4328238 	4352447 	4384529 	4427918 	4460424 	4483749 	4501742 	4522292 	4535712 	4553444 	4619957 	4643918 
A,NR,F,TOTAL,AT1	1700829 	1710008 	1725294 	1739459 	1747041 	1745427 	1745115 	1746195 	1745041 	1745752 	1748841 	1750973 	1759810 	1770449 	1782349 	1798017 	1812520 	1821295 	1830468 	1839514 	1845858 	1854135 	1863066 	1876351 	1891217 	1909925 	1934748 	1952123 	1964998 	1973619 	1984110 	1991992 	2000081 	2039851 	2052543 
A,NR,F,TOTAL,AT11	139775 	140071 	141157 	141706 	141890 	142264 	142371 	142232 	142008 	141744 	141501 	141390 	141588 	141524 	141557 	142176 	142599 	143039 	143433 	144528 	145017 	145579 	146224 	146694 	146980 	147246 	148052 	148416 	149016 	149487 	150097 	150724 	151557 	153737 	154169 
