freq,na_item,unit,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,B1G,I15,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	84.4 e	87.5 e	90.8 e	93.7 e	94.7 e	95.7 e	97.8 e	100 	103.2 e	107.1 e	111.5 e	114.2 e	110.8 e	119.9 e	126.3 e	: 
A,B1G,I15,AL0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	84.4 e	87.5 e	90.8 e	93.7 e	94.7 e	95.7 e	97.8 e	100 	103.2 e	107.1 e	111.5 e	114.2 e	110.8 e	119.9 e	: 	: 
A,B1G,I15,AL01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	85.7 e	89.5 e	95.6 e	95.3 e	96.9 e	96.6 e	95.8 e	100 	103.7 e	106.2 e	108.9 e	111.5 e	105.9 e	114.4 e	: 	: 
A,B1G,I15,AL02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	84.9 e	88.8 e	90.7 e	90.5 e	91 e	92.5 e	95.3 e	100 	103.1 e	110.5 e	116 e	118.9 e	116.4 e	127.8 e	: 	: 
A,B1G,I15,AL03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	82.5 e	83.9 e	87.2 e	97.5 e	98.7 e	100.1 e	103.2 e	100 	102.9 e	102.5 e	106.4 e	108.7 e	105.9 e	111.6 e	: 	: 
A,B1G,I15,AT	: 	: 	: 	: 	: 	80.8 	82 	83.1 	84.2 	86.5 	88.6 	91.8 	95.3 	96.9 	93.1 	94.8 	97.9 	98.3 	98.2 	98.9 	100 	102.1 	104.5 	107.4 	109.3 	102.6 	107 	113.5 	112.2 
A,B1G,I15,AT1	: 	: 	: 	: 	: 	82.4 	82.9 	84.6 	85 	87.4 	89.3 	92.5 	95.9 	97.8 	95.9 	97.2 	99.8 	99.5 	99.3 	99.4 	100 	102.5 	104 	106.9 	108.6 	101.7 	106.5 	111 	111.7 
A,B1G,I15,AT11	: 	: 	: 	: 	: 	78.8 	79.7 	81.4 	80.7 	84.2 	84.1 	86 	89.1 	88.5 	88 	90.4 	93.2 	94.3 	95.5 	97.2 	100 	101 	104 	105.5 	106.4 	100.3 	105.3 	110.1 	108.5 
A,B1G,I15,AT12	: 	: 	: 	: 	: 	79.8 	79 	79 	80 	84.6 	86.3 	89.3 	93.4 	97.1 	94.6 	94.7 	98.1 	98 	97.8 	99.1 	100 	102.5 	105.8 	108.3 	111.6 	103.2 	107.4 	111.6 	109.9 
A,B1G,I15,AT13	: 	: 	: 	: 	: 	84.4 	85.8 	88.4 	88.5 	89.6 	91.7 	95.1 	98.1 	99.1 	97.5 	99.4 	101.5 	101 	100.7 	99.8 	100 	102.7 	102.8 	106.1 	106.9 	100.9 	106 	110.7 	113.2 
