gender_indicator,transport_indicator,n,pearson_r,pearson_p,spearman_r,spearman_p,within_country_pearson_r,within_country_pearson_p
emp_female_share,motorway_km_per_Mhab,16,0.44189824351918666,0.08657743216793704,0.4088235294117647,0.11588783814878345,-0.02970966529435823,0.9130265293550122
emp_female_share,rail_km_per_Mhab,16,0.24939366347272493,0.3515998987435174,-0.06470588235294117,0.8118214513105935,-0.23428647548724546,0.3824586287847077
emp_female_share,cars_per_1000hab,16,0.7927930545486399,0.00024922740310822766,0.6882352941176471,0.003203908614395742,0.6086839147892843,0.012340661241305135
emp_female_share,road_deaths_per_Mhab,16,-0.9354636211235651,1.0529936407844591e-07,-0.8382352941176471,5.0103421006834874e-05,-0.8734313560409788,9.920651726934272e-06
emp_female_share,road_injuries_per_Mhab,16,-0.19533698693360207,0.4684540921567914,-0.11470588235294117,0.6722910465997233,0.15768679361799298,0.5597242915435608
emp_female_share,air_pax_per_capita,14,0.6486745627734936,0.012087128822890293,0.8637362637362638,6.846377605646037e-05,0.6212571984476332,0.017720030077081256
emp_female_share,gdp_per_capita_eur,16,0.8695025774187675,1.2154842665431913e-05,0.7352941176470589,0.0011716155350991774,0.6470410321612914,0.006744090661685802
unemp_gap_pp,motorway_km_per_Mhab,16,0.3921626412065063,0.13300650173240908,0.3382352941176471,0.20006555877868956,0.22800813420038263,0.3957025111852137
unemp_gap_pp,rail_km_per_Mhab,16,0.03370338218669225,0.9013850461972924,-0.02647058823529412,0.9224805705017287,-0.1872040861816483,0.48752509793299337
unemp_gap_pp,cars_per_1000hab,16,-0.025904922730162087,0.9241326363677022,-0.15882352941176472,0.5568612810855391,-0.37507138501178194,0.15229429434284902
unemp_gap_pp,road_deaths_per_Mhab,16,-0.284564639292021,0.2854259132077799,-0.23823529411764705,0.37425412972798855,0.12461478617182355,0.645641987473198
unemp_gap_pp,road_injuries_per_Mhab,16,-0.3003409273659122,0.2583690743941385,-0.15,0.5792486306642535,-0.18601934132799014,0.4903338879594339
unemp_gap_pp,air_pax_per_capita,14,0.12010089959497262,0.6825651436717661,0.23076923076923075,0.4273358616774502,-0.07524152164863442,0.7982276751888044
unemp_gap_pp,gdp_per_capita_eur,16,0.28525280336069286,0.28421154635267254,0.0588235294117647,0.8286807500332257,-0.1526279268124004,0.5725418757101071
early_leavers_gap_pp,motorway_km_per_Mhab,14,0.2497161675200906,0.38923762076396695,0.13406593406593406,0.6477195279851133,-0.21280451839518655,0.4651233104308884
early_leavers_gap_pp,rail_km_per_Mhab,14,0.10228229540482828,0.7278862086076228,0.24395604395604395,0.400624803916119,-0.1543708300526424,0.5982440307267481
early_leavers_gap_pp,cars_per_1000hab,14,0.45547699700655037,0.10170257595412974,0.4021978021978022,0.1539744295414035,-0.03656688628810007,0.9012325427043768
early_leavers_gap_pp,road_deaths_per_Mhab,14,-0.5606222533003815,0.037029449857590026,-0.4813186813186813,0.08141829504280487,-0.12409801162219847,0.6725277638104155
early_leavers_gap_pp,road_injuries_per_Mhab,14,-0.3476303296165247,0.2232685406746938,-0.3274725274725274,0.25307100077194056,-0.23185799721430686,0.4250970517365673
early_leavers_gap_pp,air_pax_per_capita,12,0.35445740337614207,0.25827074813825507,0.44055944055944063,0.15173503571673036,0.15105741732391784,0.6393374552458686
early_leavers_gap_pp,gdp_per_capita_eur,14,0.5341559583702905,0.04911446474592706,0.3494505494505495,0.22068999774644735,0.053500294568886136,0.8558615551251685
gender_gap_magnitude,motorway_km_per_Mhab,16,-0.414909877412835,0.11003671768990034,-0.3941176470588235,0.13091285429899086,-0.041574704675966606,0.8784976915838453
gender_gap_magnitude,rail_km_per_Mhab,16,-0.3832413150953424,0.14285238798086197,-0.36176470588235293,0.16855882250388424,-0.09053807889117985,0.7387862725554588
gender_gap_magnitude,cars_per_1000hab,16,-0.4958709738899255,0.05077122705956713,-0.5705882352941177,0.02099069636821779,-0.12878154329527525,0.6345532496823674
gender_gap_magnitude,road_deaths_per_Mhab,16,0.6934020506474545,0.0028945763222952402,0.6852941176470588,0.0033915617452165985,0.3178012755486235,0.2303346308890557
gender_gap_magnitude,road_injuries_per_Mhab,16,0.33957253808731913,0.19817952210857143,0.2411764705882353,0.3682066080426343,0.13317829867736267,0.622930941463271
gender_gap_magnitude,air_pax_per_capita,14,-0.4283897893897797,0.12645222021229413,-0.7010989010989012,0.005211861769946944,-0.28261386029181246,0.3275752648146387
gender_gap_magnitude,gdp_per_capita_eur,16,-0.6940200552990761,0.002859252123374209,-0.7911764705882354,0.0002619464480824596,-0.3119291660010697,0.2395389967381099
