gender_indicator,transport_indicator,model,n,beta_transport_std,p_transport,beta_gdp_std,p_gdp,r_squared
emp_female_share,motorway_km_per_Mhab,simple,16,0.013622027867673261,0.08657743216793702,,,0.19527405762534267
emp_female_share,motorway_km_per_Mhab,with_gdp,16,-0.002250288515102254,0.5966473584970287,0.029301591888241475,8.490598170422872e-06,0.8336863947502967
emp_female_share,rail_km_per_Mhab,simple,16,0.00768785005070758,0.35159989874351993,,,0.06219719938034651
emp_female_share,rail_km_per_Mhab,with_gdp,16,-0.0040811683694118965,0.2862284010476788,0.029699862452337914,1.969233543328198e-06,0.8446967014699651
emp_female_share,cars_per_1000hab,simple,16,0.0244387689716863,0.00024922740310822863,,,0.6285208273405629
emp_female_share,cars_per_1000hab,with_gdp,16,0.00630007087909043,0.26435988378777586,0.023145359538182003,0.0008866622426002215,0.8460370348203302
emp_female_share,road_deaths_per_Mhab,simple,16,-0.028836755300627237,1.0529936407844328e-07,,,0.8750921864456127
emp_female_share,road_deaths_per_Mhab,with_gdp,16,-0.028403530126278165,0.04925270686488707,0.0004452344555510024,0.9733987249676375,0.8751032884103599
emp_female_share,road_injuries_per_Mhab,simple,16,-0.0060214900570912736,0.4684540921567874,,,0.03815653846429834
emp_female_share,road_injuries_per_Mhab,with_gdp,16,0.003216719465928816,0.3890407814842162,0.029103701473408017,2.0522913677240416e-06,0.8397129658712008
emp_female_share,air_pax_per_capita,simple,14,0.01925523547820014,0.012087128822890347,,,0.42077868838938304
emp_female_share,air_pax_per_capita,with_gdp,14,0.00474608233775366,0.3315156886802033,0.023864991084002946,0.00033969561279331104,0.8282316336031426
unemp_gap_pp,motorway_km_per_Mhab,simple,16,0.42496463266620915,0.13300650173240922,,,0.15379153715806293
unemp_gap_pp,motorway_km_per_Mhab,with_gdp,16,0.40030862520087157,0.24487629898071975,0.04551700274364211,0.8919752645305706,0.15503815114080677
unemp_gap_pp,rail_km_per_Mhab,simple,16,0.036522462686685214,0.9013850461972926,,,0.0011359179708222422
unemp_gap_pp,rail_km_per_Mhab,with_gdp,16,-0.08000410067410516,0.8045932247664503,0.2940621537258131,0.3702509134352359,0.06321128581634772
unemp_gap_pp,cars_per_1000hab,simple,16,-0.02807171009048995,0.9241326363677016,,,0.0006710650216554814
unemp_gap_pp,cars_per_1000hab,with_gdp,16,-0.605643554162215,0.19039142105192877,0.7369937975663041,0.11658004644967294,0.17913779485475567
unemp_gap_pp,road_deaths_per_Mhab,simple,16,-0.3083667200794028,0.2854259132077803,,,0.08097703393539779
unemp_gap_pp,road_deaths_per_Mhab,with_gdp,16,-0.9974757492102222,0.43323294189145317,-0.7082115757965604,0.5756416860985709,0.10370780640423405
unemp_gap_pp,road_injuries_per_Mhab,simple,16,-0.32546259755904017,0.2583690743941387,,,0.09020467265101606
unemp_gap_pp,road_injuries_per_Mhab,with_gdp,16,-0.26931956346905644,0.3830317880562534,0.17687086441314004,0.5634021285119781,0.11416077081443854
unemp_gap_pp,air_pax_per_capita,simple,14,0.13151865493194903,0.6825651436717662,,,0.014424226083521785
unemp_gap_pp,air_pax_per_capita,with_gdp,14,-0.20504168859916827,0.597954802326305,0.5535822470030012,0.1706314107593235,0.17551881506456446
early_leavers_gap_pp,motorway_km_per_Mhab,simple,14,0.7026450651137908,0.3892376207639671,,,0.06235816432092178
early_leavers_gap_pp,motorway_km_per_Mhab,with_gdp,14,-0.6267162431984221,0.5336008848601743,1.9264731504980106,0.07383090840439024,0.3079078151624598
early_leavers_gap_pp,rail_km_per_Mhab,simple,14,0.2877993476691152,0.7278862086076233,,,0.010461667953280518
early_leavers_gap_pp,rail_km_per_Mhab,with_gdp,14,-0.2540815131881025,0.7448853750377489,1.5810885457895687,0.062072809043130714,0.28911703144111556
early_leavers_gap_pp,cars_per_1000hab,simple,14,1.2816097067233476,0.10170257595412986,,,0.207459294802105
early_leavers_gap_pp,cars_per_1000hab,with_gdp,14,0.1751048531586475,0.891363473433175,1.3505441639247338,0.3040803220144159,0.28319399854540805
early_leavers_gap_pp,road_deaths_per_Mhab,simple,14,-1.577464781661743,0.037029449857590005,,,0.3142973108955972
early_leavers_gap_pp,road_deaths_per_Mhab,with_gdp,14,-2.8626448624885605,0.43187534747648576,-1.3114004821137046,0.7156820970988113,0.322896598159661
early_leavers_gap_pp,road_injuries_per_Mhab,simple,14,-0.9781534692553694,0.22326854067469368,,,0.12084684606929375
early_leavers_gap_pp,road_injuries_per_Mhab,with_gdp,14,-0.47728536037898445,0.5451153804997494,1.311767738198439,0.11415020783440727,0.30649857051440976
early_leavers_gap_pp,air_pax_per_capita,simple,12,0.813250269873877,0.2582707481382546,,,0.12564005080815688
early_leavers_gap_pp,air_pax_per_capita,with_gdp,12,0.36832971647663765,0.6757202456729005,0.750423440419101,0.401393883152097,0.19501263834804727
gender_gap_magnitude,motorway_km_per_Mhab,simple,16,-0.24448439381056225,0.11003671768990046,,,0.17215020637473377
gender_gap_magnitude,motorway_km_per_Mhab,with_gdp,16,-0.026449874586529427,0.8501329311524094,-0.40250952323408595,0.011640606217838282,0.5018475155520374
gender_gap_magnitude,rail_km_per_Mhab,simple,16,-0.22582378898398586,0.1428523879808617,,,0.14687390559600755
gender_gap_magnitude,rail_km_per_Mhab,with_gdp,16,-0.07194267318401502,0.5723803644366494,-0.38832872973148125,0.008031865937631277,0.5129897127693391
gender_gap_magnitude,cars_per_1000hab,simple,16,-0.2921904757140913,0.050771227059567256,,,0.2458880227465433
gender_gap_magnitude,cars_per_1000hab,with_gdp,16,0.08936178381913369,0.6358417632157102,-0.48686869280365197,0.020331349676061386,0.5092976836877994
gender_gap_magnitude,road_deaths_per_Mhab,simple,16,0.4085850668984329,0.00289457632229523,,,0.4808064038420953
gender_gap_magnitude,road_deaths_per_Mhab,with_gdp,16,0.056207863821758214,0.9122946340096171,-0.36214532637960906,0.482130623250087,0.500908082388679
gender_gap_magnitude,road_injuries_per_Mhab,simple,16,0.20009209384617102,0.19817952210857123,,,0.11530950862306388
gender_gap_magnitude,road_injuries_per_Mhab,with_gdp,16,0.07537241650712395,0.5408283122547185,-0.39291209493468904,0.006040844802753109,0.5151370297603165
gender_gap_magnitude,air_pax_per_capita,simple,14,-0.24544331740143413,0.1264522202122943,,,0.18351781165341952
gender_gap_magnitude,air_pax_per_capita,with_gdp,14,-0.005894204229179139,0.9706595485778237,-0.3940159287519043,0.028716272977711656,0.48164542071777483
